,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Tor1aip1,0.001743013,0.430323069,0.529,0.654,1,1,Tor1aip1
Senp3,0.001746756,0.311821458,0.535,0.757,1,1,Senp3
Diablo,0.001842154,0.260926986,0.406,0.721,1,1,Diablo
Haus3,0.001886549,0.285650766,0.219,0.38,1,1,Haus3
Scarb2,0.001918038,0.271232939,0.283,0.484,1,1,Scarb2
Akap13,0.002023619,0.373844819,0.465,0.375,1,1,Akap13
Rhob,0.002110196,0.365640751,0.679,0.911,1,1,Rhob
Pigc,0.002337769,0.26085497,0.326,0.578,1,1,Pigc
Serpinb9,0.002401287,0.783225538,0.251,0.188,1,1,Serpinb9
Sec61a1,0.002691382,0.555192185,0.668,0.805,1,1,Sec61a1
Flrt3,0.002714921,0.66058245,0.567,0.616,1,1,Flrt3
Phc2,0.002923688,0.322155816,0.422,0.677,1,1,Phc2
Smim4,0.002969689,0.280800509,0.61,0.829,1,1,Smim4
Pnrc1,0.002976968,0.481716609,0.642,0.897,1,1,Pnrc1
Gng12,0.003041505,0.380034404,0.455,0.425,1,1,Gng12
Gm34690,0.003041661,0.365330546,0.289,0.229,1,1,Gm34690
4-Sep,0.003214688,0.346113515,0.508,0.796,1,1,4-Sep
Trim26,0.003329363,0.250527637,0.278,0.431,1,1,Trim26
Zcchc11,0.003733431,0.254401748,0.567,0.881,1,1,Zcchc11
Trp53,0.003792508,0.269094181,0.358,0.623,1,1,Trp53
Sec24d,0.003836318,0.353036413,0.289,0.229,1,1,Sec24d
Arfgap3,0.004322249,0.456289757,0.465,0.517,1,1,Arfgap3
Elmod2,0.004450477,0.255038247,0.193,0.324,1,1,Elmod2
Suox,0.00450331,0.310154529,0.267,0.214,1,1,Suox
Rdh10,0.004768637,0.308856144,0.251,0.201,1,1,Rdh10
Nfkbia,0.004819711,0.533868327,0.535,0.646,1,1,Nfkbia
Npy1r,0.005085431,0.502280309,0.519,0.549,1,1,Npy1r
Zfp362,0.005166356,0.26695227,0.604,0.653,1,1,Zfp362
Myo6,0.005250676,0.383966606,0.353,0.305,1,1,Myo6
Adi1,0.005408308,0.301814699,0.428,0.745,1,1,Adi1
Srsf9,0.00613239,0.328465241,0.658,0.945,1,1,Srsf9
Hspa5,0.006285991,0.35923759,0.893,0.987,1,1,Hspa5
Plxdc2,0.006653879,0.601251661,0.433,0.412,1,1,Plxdc2
Creld2,0.0066793,0.346865381,0.433,0.783,1,1,Creld2
Mcl1,0.006860162,0.543919998,0.583,0.682,1,1,Mcl1
Sri,0.007215418,0.313108545,0.749,0.963,1,1,Sri
Prpf38b,0.00777989,0.252002762,0.535,0.876,1,1,Prpf38b
Mbd2,0.008152556,0.483818073,0.54,0.703,1,1,Mbd2
Zkscan3,0.008607915,0.40250663,0.412,0.632,1,1,Zkscan3
1810010H24Rik,0.008638742,0.29857504,0.283,0.241,1,1,1810010H24Rik
Cited2,0.008781486,0.506060862,0.668,0.862,1,1,Cited2
Jam3,0.008958032,0.278281729,0.294,0.483,1,1,Jam3
Mrps6,0.008999152,0.467748624,0.706,0.947,1,1,Mrps6
Pgpep1,0.00922339,0.340081989,0.321,0.273,1,1,Pgpep1
Osbpl9,0.009537897,0.582864536,0.642,0.758,1,1,Osbpl9
Yif1a,0.009684122,0.511393377,0.508,0.656,1,1,Yif1a
,,,,,,,
Ctss,0,4.687546786,1,0.014,0,2,Ctss
C1qb,0,4.626062526,1,0.014,0,2,C1qb
C1qc,0,4.4229131,1,0.012,0,2,C1qc
P2ry12,0,4.333630976,1,0.025,0,2,P2ry12
C1qa,0,3.86970759,1,0.01,0,2,C1qa
Selplg,0,3.853767241,1,0.013,0,2,Selplg
Csf1r,0,3.804183629,1,0.01,0,2,Csf1r
Fcer1g,0,3.59637229,1,0.013,0,2,Fcer1g
Gpr34,0,3.573319799,0.991,0.028,0,2,Gpr34
Tyrobp,0,3.49754969,1,0.01,0,2,Tyrobp
Fcgr3,0,3.492917556,1,0.023,0,2,Fcgr3
Zfp361,0,3.48248145,0.982,0.038,0,2,Zfp36
Siglech,0,3.473067436,0.991,0.005,0,2,Siglech
Sparc1,0,3.471272066,1,0.066,0,2,Sparc
Cx3cr1,0,3.405218896,1,0.009,0,2,Cx3cr1
Fcrls,0,3.320110235,0.991,0.006,0,2,Fcrls
Cd53,0,3.244154014,0.982,0.016,0,2,Cd53
Laptm5,0,3.144758093,1,0.009,0,2,Laptm5
Tmem1191,0,3.130528717,1,0.005,0,2,Tmem119
Rnase41,0,3.081472057,0.964,0.04,0,2,Rnase4
Olfml31,0,3.023501596,0.991,0.014,0,2,Olfml3
Ly86,0,2.956047962,0.991,0.008,0,2,Ly86
Sepp11,0,2.885971848,0.955,0.045,0,2,Sepp1
Trem2,0,2.801491539,0.973,0.062,0,2,Trem2
P2ry13,0,2.788700233,0.909,0.007,0,2,P2ry13
Txnip1,0,2.616634916,0.964,0.015,0,2,Txnip
4632428N05Rik,0,2.584141805,0.982,0.007,0,2,4632428N05Rik
Unc93b11,0,2.555534209,0.991,0.022,0,2,Unc93b1
Aif1,0,2.499170531,0.982,0.079,0,2,Aif1
Pld4,0,2.42960916,0.991,0.005,0,2,Pld4
Cd91,0,2.38365556,0.945,0.039,0,2,Cd9
Itgb51,0,2.293332768,0.918,0.03,0,2,Itgb5
Cyba1,0,2.287682324,0.991,0.015,0,2,Cyba
Trf1,0,2.267075355,0.955,0.036,0,2,Trf
Ctsh1,0,2.243543687,0.855,0.015,0,2,Ctsh
AF251705,0,2.222937175,0.936,0.007,0,2,AF251705
Hpgds,0,2.073932914,0.9,0.056,0,2,Hpgds
Fyb,0,2.027014671,0.909,0.004,0,2,Fyb
Mertk,0,2.016398115,0.955,0.036,0,2,Mertk
F11r,0,2.009789699,0.882,0.021,0,2,F11r
Clic11,0,1.996171142,0.873,0.055,0,2,Clic1
Crybb1,0,1.984630176,0.909,0.005,0,2,Crybb1
Lyn,0,1.97385921,0.9,0.02,0,2,Lyn
Ltc4s,0,1.968742568,0.936,0.021,0,2,Ltc4s
Tmem173,0,1.961102744,0.755,0.004,0,2,Tmem173
Slc2a5,0,1.946532854,0.773,0.026,0,2,Slc2a5
Slco2b1,0,1.943440809,0.927,0.01,0,2,Slco2b1
Anxa31,0,1.938615977,0.827,0.015,0,2,Anxa3
Emr1,0,1.934525887,0.855,0.004,0,2,Emr1
Cfh1,0,1.934224076,0.836,0.011,0,2,Cfh
Ccr5,0,1.93415561,0.827,0.002,0,2,Ccr5
Cyth4,0,1.902926024,0.918,0.025,0,2,Cyth4
Lgals91,0,1.857110983,0.718,0.023,0,2,Lgals9
Ecscr,0,1.825666565,0.836,0.006,0,2,Ecscr
Tcn21,0,1.820657794,0.755,0.028,0,2,Tcn2
Fgd2,0,1.810752783,0.764,0.01,0,2,Fgd2
Cd84,0,1.805474356,0.745,0.003,0,2,Cd84
Cd14,0,1.78154094,0.718,0.003,0,2,Cd14
Bin2,0,1.746954826,0.773,0.002,0,2,Bin2
Itgam,0,1.736728518,0.9,0.06,0,2,Itgam
C3ar1,0,1.721267176,0.618,0.024,0,2,C3ar1
Mpeg1,0,1.715056256,0.927,0.014,0,2,Mpeg1
Spi1,0,1.694573056,0.873,0.004,0,2,Spi1
Cd37,0,1.689401615,0.845,0.027,0,2,Cd37
Syngr21,0,1.688041626,0.7,0.037,0,2,Syngr2
Adrb2,0,1.675959256,0.618,0.028,0,2,Adrb2
Zfp36l11,0,1.667642718,0.964,0.031,0,2,Zfp36l1
Hmha1,0,1.666376321,0.9,0.005,0,2,Hmha1
Csf3r,0,1.634140967,0.8,0.004,0,2,Csf3r
Clec4a3,0,1.614128789,0.564,0.002,0,2,Clec4a3
Fcgr2b,0,1.612990494,0.691,0.005,0,2,Fcgr2b
Tlr7,0,1.607647674,0.673,0.013,0,2,Tlr7
Susd3,0,1.59723485,0.791,0.001,0,2,Susd3
Abi3,0,1.596272958,0.882,0.035,0,2,Abi3
Cd33,0,1.590422798,0.682,0.002,0,2,Cd33
Il1a,0,1.57491071,0.6,0.004,0,2,Il1a
Ang,0,1.569539925,0.755,0.017,0,2,Ang
Fcgr1,0,1.565693109,0.645,0.017,0,2,Fcgr1
Cd86,0,1.562398383,0.7,0.002,0,2,Cd86
Dock8,0,1.555112343,0.782,0.009,0,2,Dock8
Gm2629,0,1.543165845,0.673,0.001,0,2,Gm2629
Rgs1,0,1.512754562,0.491,0.001,0,2,Rgs1
Ncf1,0,1.510300357,0.655,0.008,0,2,Ncf1
Cmtm71,0,1.507276049,0.8,0.018,0,2,Cmtm7
Tnfaip8l2,0,1.496757999,0.709,0.006,0,2,Tnfaip8l2
Gm10790,0,1.49231541,0.8,0.004,0,2,Gm10790
Bcl2a1b,0,1.491953697,0.755,0.001,0,2,Bcl2a1b
Nckap1l,0,1.4765272,0.755,0.023,0,2,Nckap1l
Ptpn6,0,1.471679669,0.609,0.012,0,2,Ptpn6
Gm36365,0,1.470827037,0.782,0.001,0,2,Gm36365
Psmb8,0,1.426559286,0.645,0.013,0,2,Psmb8
Casp8,0,1.421557766,0.636,0.005,0,2,Casp8
Il10ra,0,1.406863405,0.755,0.019,0,2,Il10ra
Tbxas1,0,1.399186103,0.691,0.011,0,2,Tbxas1
Gngt2,0,1.393138898,0.809,0.023,0,2,Gngt2
Ptpn18,0,1.389583171,0.855,0.009,0,2,Ptpn18
Nfe2l21,0,1.378249414,0.636,0.028,0,2,Nfe2l2
Abca91,0,1.372889156,0.636,0.012,0,2,Abca9
Msn1,0,1.371275614,0.709,0.02,0,2,Msn
Itgb2,0,1.36940255,0.618,0.006,0,2,Itgb2
Gpr183,0,1.36504507,0.8,0.022,0,2,Gpr183
Ccl3,0,1.325462464,0.3,0.002,0,2,Ccl3
Gna15,0,1.310971263,0.655,0.012,0,2,Gna15
Upk1b,0,1.310154164,0.327,0.006,0,2,Upk1b
Ccl6,0,1.303968734,0.455,0.002,0,2,Ccl6
Stab1,0,1.298645989,0.673,0.004,0,2,Stab1
Ptprc,0,1.282362921,0.673,0.004,0,2,Ptprc
Ccl9,0,1.281167623,0.418,0.003,0,2,Ccl9
Vav1,0,1.280831897,0.6,0.005,0,2,Vav1
Cd48,0,1.276588731,0.455,0.002,0,2,Cd48
Rac2,0,1.276290569,0.555,0.003,0,2,Rac2
Hk2,0,1.259916484,0.882,0.034,0,2,Hk2
P2ry6,0,1.224976133,0.8,0.014,0,2,P2ry6
Clec5a,0,1.219007405,0.5,0.002,0,2,Clec5a
Clec4a2,0,1.215766011,0.5,0.002,0,2,Clec4a2
Mlxipl,0,1.212349433,0.755,0.005,0,2,Mlxipl
Hhex,0,1.207129439,0.536,0.003,0,2,Hhex
Gm32164,0,1.204693186,0.664,0.01,0,2,Gm32164
C5ar1,0,1.201165429,0.527,0.002,0,2,C5ar1
Ms4a6d,0,1.180736929,0.418,0.009,0,2,Ms4a6d
Srgn1,0,1.151898597,0.545,0.015,0,2,Srgn
Akna,0,1.128365392,0.591,0.018,0,2,Akna
Ms4a6b,0,1.128364665,0.436,0.01,0,2,Ms4a6b
Dapp1,0,1.122278029,0.582,0.02,0,2,Dapp1
Cd300a,0,1.105644112,0.645,0.014,0,2,Cd300a
BC035044,0,1.101437465,0.427,0.001,0,2,BC035044
Rhoh,0,1.092649225,0.645,0.006,0,2,Rhoh
Ccl12,0,1.071367495,0.491,0.002,0,2,Ccl12
Ccl4,0,1.06426499,0.345,0.002,0,2,Ccl4
Havcr2,0,1.062720641,0.455,0.002,0,2,Havcr2
Samsn1,0,1.054588105,0.482,0.003,0,2,Samsn1
Rasal3,0,1.04075393,0.5,0.001,0,2,Rasal3
Rcsd11,0,1.021366637,0.627,0.012,0,2,Rcsd1
1810011H11Rik,0,1.00077578,0.409,0,0,2,1810011H11Rik
Tnfrsf1b,0,0.990919116,0.455,0.011,0,2,Tnfrsf1b
Agmo,0,0.986609444,0.4,0.008,0,2,Agmo
Fli1,0,0.962914479,0.764,0.01,0,2,Fli1
Tifab,0,0.951878005,0.491,0.001,0,2,Tifab
Pon3,0,0.947656883,0.4,0.003,0,2,Pon3
Slc11a1,0,0.912063236,0.382,0.005,0,2,Slc11a1
Hmga2-ps1,0,0.910821201,0.4,0.002,0,2,Hmga2-ps1
Myo1f,0,0.90256272,0.609,0.002,0,2,Myo1f
Sash3,0,0.891569974,0.373,0.005,0,2,Sash3
Ncf4,0,0.888397398,0.364,0.002,0,2,Ncf4
Tmem63a,0,0.874504163,0.4,0.01,0,2,Tmem63a
Fes,0,0.874380242,0.482,0.009,0,2,Fes
LOC105245643,0,0.871377566,0.418,0.001,0,2,LOC105245643
Grap,0,0.866184947,0.409,0.007,0,2,Grap
Gsdmd,0,0.858225273,0.382,0.005,0,2,Gsdmd
Mfng,0,0.852751355,0.409,0.011,0,2,Mfng
Gcnt1,0,0.850528574,0.436,0.006,0,2,Gcnt1
Gm33858,0,0.842186909,0.427,0,0,2,Gm33858
Nfam1,0,0.834890458,0.4,0.005,0,2,Nfam1
Cd82,0,0.832139595,0.527,0.016,0,2,Cd82
Slamf9,0,0.831766176,0.291,0.005,0,2,Slamf9
Xlr,0,0.831737685,0.464,0.003,0,2,Xlr
Runx1,0,0.822710178,0.491,0.005,0,2,Runx1
Arhgap30,0,0.817824755,0.436,0.004,0,2,Arhgap30
Abcc3,0,0.798081286,0.427,0.008,0,2,Abcc3
Cysltr1,0,0.789306059,0.3,0.001,0,2,Cysltr1
H2-DMb1,0,0.780184517,0.445,0.012,0,2,H2-DMb1
Il21r,0,0.762263564,0.464,0.004,0,2,Il21r
Trim30a,0,0.760646167,0.318,0.003,0,2,Trim30a
Dock2,0,0.748852485,0.427,0.003,0,2,Dock2
Pik3ap1,0,0.745730464,0.336,0.004,0,2,Pik3ap1
Klhl6,0,0.729897658,0.309,0.003,0,2,Klhl6
Slfn8,0,0.729001887,0.273,0.003,0,2,Slfn8
Pik3cg,0,0.726403112,0.382,0.006,0,2,Pik3cg
Cryba4,0,0.715800978,0.4,0.001,0,2,Cryba4
Gmfg,0,0.706087507,0.591,0.005,0,2,Gmfg
Epsti1,0,0.690533335,0.3,0.004,0,2,Epsti1
Tgif1,0,0.657811162,0.491,0.007,0,2,Tgif1
Arhgap9,0,0.652655078,0.255,0.001,0,2,Arhgap9
Sp110,0,0.648691834,0.455,0.006,0,2,Sp110
Apobec3,0,0.64345807,0.355,0.006,0,2,Apobec3
Tgfb1,0,0.620848786,0.809,0.028,0,2,Tgfb1
Apobec1,0,0.615001934,0.4,0.004,0,2,Apobec1
Siglece,0,0.614267775,0.3,0.001,0,2,Siglece
Adap2,0,0.614144223,0.845,0.007,0,2,Adap2
Gp9,0,0.585565377,0.3,0.003,0,2,Gp9
A630001G21Rik,0,0.570948244,0.373,0.001,0,2,A630001G21Rik
LOC105244211,0,0.570363467,0.291,0.004,0,2,LOC105244211
Hcls1,0,0.562517763,0.491,0.003,0,2,Hcls1
Ugt1a7c,0,0.55415634,0.255,0.004,0,2,Ugt1a7c
Dennd1c,0,0.552288791,0.4,0.004,0,2,Dennd1c
Tlr2,0,0.551358414,0.273,0.001,0,2,Tlr2
Rbm47,0,0.544293102,0.491,0.003,0,2,Rbm47
Fcrl1,0,0.539918194,0.318,0,0,2,Fcrl1
Ikzf1,0,0.529043129,0.4,0.001,0,2,Ikzf1
Hk3,0,0.528205543,0.327,0.003,0,2,Hk3
Cd180,0,0.492658923,0.427,0.001,0,2,Cd180
Btk,0,0.468923825,0.418,0.001,0,2,Btk
Themis2,0,0.465640152,0.318,0.004,0,2,Themis2
Ggta1,0,0.443292574,0.336,0.007,0,2,Ggta1
LOC105242696,0,0.441722136,0.373,0.001,0,2,LOC105242696
Slc15a3,0,0.437404206,0.464,0.001,0,2,Slc15a3
Gm34280,0,0.425208577,0.455,0.003,0,2,Gm34280
Abhd15,0,0.418122852,0.309,0.006,0,2,Abhd15
Lrrk11,0,0.409187886,0.409,0.007,0,2,Lrrk1
Naip5,0,0.387919987,0.3,0.001,0,2,Naip5
LOC105245153,0,0.385537759,0.655,0.001,0,2,LOC105245153
LOC105246818,0,0.37891234,0.318,0.005,0,2,LOC105246818
C5ar2,0,0.367594923,0.564,0.003,0,2,C5ar2
Tal1,0,0.340490606,0.282,0.005,0,2,Tal1
I830077J02Rik,0,0.332444528,0.273,0.005,0,2,I830077J02Rik
Adora3,0,0.328068676,0.382,0,0,2,Adora3
Itpripl1,0,0.28544347,0.573,0.009,0,2,Itpripl1
Ppp1r3b,0,0.28435792,0.327,0.005,0,2,Ppp1r3b
Lyl1,0,0.276357904,0.473,0.007,0,2,Lyl1
Cmklr1,0,0.27378529,0.336,0.004,0,2,Cmklr1
Bcl2a1a,0,0.257352771,0.5,0,0,2,Bcl2a1a
Plcg2,1.60E-303,0.768600666,0.536,0.021,6.73E-299,2,Plcg2
Prkcd,1.06E-299,1.278829582,0.745,0.042,4.45E-295,2,Prkcd
Entpd1,2.91E-297,2.208767235,0.918,0.069,1.22E-292,2,Entpd1
Sall3,3.24E-296,0.408642154,0.373,0.01,1.36E-291,2,Sall3
Trim12c,4.04E-296,0.258662242,0.255,0.005,1.69E-291,2,Trim12c
Psmb9,2.00E-294,0.85103498,0.418,0.013,8.37E-290,2,Psmb9
Inpp5d,1.25E-287,1.665053785,0.936,0.076,5.24E-283,2,Inpp5d
Lcp1,1.87E-287,1.410603471,0.664,0.035,7.82E-283,2,Lcp1
Lpxn,1.66E-282,0.92140866,0.5,0.02,6.95E-278,2,Lpxn
Hpgd,8.46E-282,2.01295661,0.791,0.053,3.54E-277,2,Hpgd
Tnfrsf1a1,8.34E-275,0.890651665,0.436,0.015,3.50E-270,2,Tnfrsf1a
Ctsc,1.15E-272,1.865793997,0.691,0.041,4.81E-268,2,Ctsc
Lcp2,6.07E-269,1.147604538,0.545,0.025,2.54E-264,2,Lcp2
Hck,6.37E-268,1.094120257,0.536,0.024,2.67E-263,2,Hck
Lyz2,1.93E-265,1.366803939,0.464,0.018,8.10E-261,2,Lyz2
Fermt3,7.02E-262,1.311900615,0.582,0.03,2.94E-257,2,Fermt3
Il6ra,7.85E-262,0.714060258,0.609,0.032,3.29E-257,2,Il6ra
Lrmp,2.04E-259,0.69278207,0.264,0.006,8.55E-255,2,Lrmp
Lair1,5.92E-258,1.88960185,0.8,0.059,2.48E-253,2,Lair1
F420015M19Rik,2.13E-257,0.519545706,0.264,0.006,8.95E-253,2,F420015M19Rik
Gm14023,1.71E-254,1.124338476,0.509,0.023,7.15E-250,2,Gm14023
Tnfrsf13b,5.17E-252,0.90562317,0.373,0.012,2.17E-247,2,Tnfrsf13b
Zfp36l21,9.01E-252,1.133661803,0.864,0.071,3.78E-247,2,Zfp36l2
Cebpa,1.29E-251,0.452269685,0.736,0.05,5.39E-247,2,Cebpa
Nfatc1,2.02E-248,0.698791213,0.391,0.014,8.47E-244,2,Nfatc1
Lpar61,1.02E-240,2.142300697,0.745,0.055,4.27E-236,2,Lpar6
Gm33699,3.81E-235,0.723908656,0.345,0.011,1.60E-230,2,Gm33699
Gpsm3,8.62E-234,0.674493996,0.536,0.028,3.61E-229,2,Gpsm3
Cd52,1.48E-233,1.138548807,0.691,0.047,6.19E-229,2,Cd52
Lpcat2,4.22E-230,2.643841687,0.955,0.102,1.77E-225,2,Lpcat2
Renbp1,8.31E-227,0.993503844,0.409,0.016,3.49E-222,2,Renbp
Irf5,1.48E-220,1.686866971,0.755,0.063,6.20E-216,2,Irf5
Slc25a45,2.25E-215,0.947184072,0.391,0.016,9.45E-211,2,Slc25a45
Ucp2,1.06E-213,1.963962541,0.809,0.074,4.45E-209,2,Ucp2
Rasgrp3,4.52E-209,1.013471738,0.555,0.033,1.89E-204,2,Rasgrp3
Irgm2,1.47E-208,0.608963212,0.273,0.008,6.18E-204,2,Irgm2
Fam46c,7.27E-208,0.581557073,0.273,0.008,3.05E-203,2,Fam46c
Litaf1,1.66E-207,1.164884453,0.727,0.057,6.96E-203,2,Litaf
Pycard,3.01E-206,1.57184407,0.755,0.066,1.26E-201,2,Pycard
Zfhx31,6.34E-204,1.679718702,0.982,0.126,2.66E-199,2,Zfhx3
Vamp81,1.80E-199,1.004101424,0.773,0.072,7.55E-195,2,Vamp8
Col27a1,5.73E-196,0.741292376,0.518,0.031,2.40E-191,2,Col27a1
Itpr21,2.36E-193,1.328051062,0.673,0.054,9.90E-189,2,Itpr2
Sall1,9.31E-193,1.380946943,0.891,0.092,3.90E-188,2,Sall1
Sqrdl1,4.50E-189,0.770606357,0.318,0.012,1.89E-184,2,Sqrdl
Frrs1,4.98E-188,0.744473947,0.455,0.024,2.09E-183,2,Frrs1
Gm3134,7.62E-187,1.311546515,0.8,0.083,3.19E-182,2,Gm3134
Arpc1b1,1.59E-186,1.305888769,0.845,0.092,6.68E-182,2,Arpc1b
Irf8,6.22E-186,1.242865857,0.627,0.048,2.61E-181,2,Irf8
Ncf2,7.73E-186,1.178391861,0.691,0.06,3.24E-181,2,Ncf2
Gm34836,4.03E-181,0.719492899,0.391,0.019,1.69E-176,2,Gm34836
Tcf7l21,4.24E-181,0.454941763,0.482,0.028,1.78E-176,2,Tcf7l2
Rin3,2.27E-171,0.408027471,0.282,0.01,9.53E-167,2,Rin3
Apbb1ip,2.00E-170,1.020810053,0.755,0.079,8.39E-166,2,Apbb1ip
Rhog1,1.80E-167,1.760139833,0.791,0.09,7.54E-163,2,Rhog
Tmem176b1,3.66E-163,2.005815148,0.827,0.101,1.54E-158,2,Tmem176b
Pros11,1.82E-160,1.297267181,0.618,0.054,7.64E-156,2,Pros1
Hvcn1,2.14E-160,0.581071886,0.355,0.018,8.96E-156,2,Hvcn1
Slc7a7,3.29E-160,0.821137063,0.345,0.017,1.38E-155,2,Slc7a7
Pdlim41,1.17E-159,0.939277812,0.5,0.035,4.92E-155,2,Pdlim4
Tgfbr11,6.15E-155,2.539796612,1,0.187,2.58E-150,2,Tgfbr1
Rab3il11,1.80E-149,1.951797324,0.891,0.139,7.54E-145,2,Rab3il1
Evi2a,1.10E-147,1.584318701,0.7,0.076,4.62E-143,2,Evi2a
Bco2,7.23E-147,0.765723336,0.3,0.014,3.03E-142,2,Bco2
Fmnl3,1.58E-146,0.799143344,0.545,0.045,6.62E-142,2,Fmnl3
Gm32435,1.17E-144,0.603208396,0.391,0.023,4.90E-140,2,Gm32435
Slc1a31,7.13E-142,0.781729434,0.727,0.08,2.99E-137,2,Slc1a3
Cd68,4.02E-141,2.723994008,0.927,0.168,1.69E-136,2,Cd68
Ppp1r18,4.65E-139,0.921360009,0.718,0.087,1.95E-134,2,Ppp1r18
Tmem176a,8.20E-132,1.472457491,0.6,0.061,3.44E-127,2,Tmem176a
Il13ra11,3.68E-131,1.287821142,0.445,0.033,1.54E-126,2,Il13ra1
H2-K11,5.08E-131,1.431352325,0.782,0.107,2.13E-126,2,H2-K1
Tlr3,2.44E-129,0.678798099,0.291,0.014,1.02E-124,2,Tlr3
Hfe1,2.17E-128,1.214012133,0.436,0.033,9.08E-124,2,Hfe
Gpr84,1.98E-127,0.647278358,0.282,0.014,8.28E-123,2,Gpr84
Abca11,3.67E-127,1.47627528,0.755,0.105,1.54E-122,2,Abca1
Syk,1.72E-126,0.80331378,0.436,0.033,7.22E-122,2,Syk
Tgfbr21,2.15E-126,0.901225848,0.655,0.076,9.03E-122,2,Tgfbr2
Arhgdib,3.59E-125,2.254964057,0.827,0.141,1.51E-120,2,Arhgdib
Tmem371,1.96E-118,1.489967594,0.536,0.055,8.22E-114,2,Tmem37
Gm35906,1.68E-116,0.912996991,0.645,0.081,7.03E-112,2,Gm35906
E230029C05Rik,7.93E-114,0.633055955,0.5,0.048,3.32E-109,2,E230029C05Rik
Pald1,1.27E-109,1.139787979,0.518,0.054,5.32E-105,2,Pald1
Il16,1.66E-105,1.06980872,0.473,0.047,6.96E-101,2,Il16
Arap11,2.47E-105,0.324763956,0.373,0.028,1.04E-100,2,Arap1
Alox5ap,1.08E-104,1.945927829,0.882,0.206,4.54E-100,2,Alox5ap
Fcgrt1,6.52E-99,0.681150014,0.336,0.024,2.73E-94,2,Fcgrt
Slc37a2,1.74E-98,0.632986018,0.273,0.016,7.29E-94,2,Slc37a2
Nrros,1.48E-97,1.375920389,0.645,0.094,6.20E-93,2,Nrros
0610040J01Rik,2.04E-97,1.036629538,0.455,0.046,8.55E-93,2,0610040J01Rik
Tcirg11,4.99E-97,1.043473784,0.636,0.094,2.09E-92,2,Tcirg1
Arhgap4,9.77E-95,1.000706275,0.4,0.037,4.10E-90,2,Arhgap4
1700017B05Rik,1.21E-94,1.977645265,0.855,0.195,5.09E-90,2,1700017B05Rik
Parvg,2.98E-93,0.797975993,0.364,0.031,1.25E-88,2,Parvg
Socs31,2.81E-92,1.456633133,0.482,0.056,1.18E-87,2,Socs3
Hist1h1d,8.44E-92,0.502439705,0.455,0.048,3.54E-87,2,Hist1h1d
Uba7,2.24E-91,0.584292785,0.291,0.02,9.41E-87,2,Uba7
Mafb,4.30E-90,1.875978786,0.873,0.214,1.80E-85,2,Mafb
Phyhd1,1.97E-88,2.194237992,0.918,0.277,8.27E-84,2,Phyhd1
Arap3,2.08E-88,0.764507223,0.427,0.044,8.71E-84,2,Arap3
Ifngr11,4.65E-88,2.384638948,0.909,0.27,1.95E-83,2,Ifngr1
Pon21,5.72E-88,0.934865734,0.418,0.042,2.40E-83,2,Pon2
Trim14,7.50E-87,0.355212465,0.255,0.016,3.14E-82,2,Trim14
Hist1h2bg,7.92E-87,0.77010296,0.455,0.052,3.32E-82,2,Hist1h2bg
Rapsn,9.41E-87,0.514461325,0.282,0.02,3.94E-82,2,Rapsn
Gng51,1.88E-86,0.914964808,0.945,0.313,7.90E-82,2,Gng5
Atf3,2.50E-86,0.77940464,0.291,0.021,1.05E-81,2,Atf3
Zc3hav1,2.60E-86,0.394788007,0.282,0.02,1.09E-81,2,Zc3hav1
Soga1,3.95E-86,0.919630541,0.7,0.13,1.65E-81,2,Soga1
Rnaset2a,8.51E-86,0.729797632,0.982,0.397,3.57E-81,2,Rnaset2a
Icam1,9.87E-86,0.467075735,0.327,0.027,4.14E-81,2,Icam1
Tnfaip81,2.14E-85,0.828736677,0.345,0.03,8.99E-81,2,Tnfaip8
Rnaset2b,2.77E-85,0.647842332,1,0.404,1.16E-80,2,Rnaset2b
Cmtm61,4.62E-85,1.793349266,0.773,0.175,1.94E-80,2,Cmtm6
Tmem1001,6.60E-85,0.66502357,0.373,0.034,2.77E-80,2,Tmem100
Cmtm31,1.07E-84,0.791897912,0.436,0.048,4.49E-80,2,Cmtm3
Slc40a1,3.95E-82,1.17149995,0.473,0.058,1.66E-77,2,Slc40a1
Slc29a3,4.97E-82,0.921936408,0.518,0.071,2.08E-77,2,Slc29a3
Rps6ka1,1.43E-80,1.447484166,0.7,0.139,6.01E-76,2,Rps6ka1
Pmp221,8.15E-80,0.838672253,0.509,0.069,3.41E-75,2,Pmp22
St3gal61,1.40E-79,1.583249882,0.873,0.233,5.85E-75,2,St3gal6
Hexb1,2.40E-79,4.624115217,1,0.58,1.00E-74,2,Hexb
Ets11,3.70E-79,0.619577066,0.509,0.069,1.55E-74,2,Ets1
5430427O19Rik,1.62E-77,0.781861609,0.264,0.02,6.79E-73,2,5430427O19Rik
Capn3,2.29E-77,1.198454987,0.573,0.092,9.60E-73,2,Capn3
Sft2d21,1.94E-76,0.90157849,0.491,0.067,8.14E-72,2,Sft2d2
Hcst,6.71E-76,0.397272877,0.309,0.027,2.81E-71,2,Hcst
Epb4.1l21,6.74E-76,2.082181606,0.945,0.376,2.82E-71,2,Epb4.1l2
Sult1a11,2.99E-75,1.212608191,0.464,0.062,1.25E-70,2,Sult1a1
Kctd12,3.04E-75,2.408233733,0.955,0.387,1.28E-70,2,Kctd12
